,arg_1_id,arg_2_id,state_count
0,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,34
1,building_0,Desk|+03.14|00.00|-01.41,1
2,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,54
3,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,19
4,DogBed|+02.30|00.00|-02.85,Desk|+03.14|00.00|-01.41,7
5,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,77
6,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,70
7,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,85
8,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,10
9,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,83
10,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,27
11,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,66
12,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,9
13,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,8
14,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,60
15,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,38
16,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,18
17,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,41
18,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,76
19,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,74
20,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,32
21,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,18
22,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,66
23,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,51
24,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,47
25,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,15
26,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,23
27,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,15
28,Chair|+02.73|00.00|-01.21,Desk|+03.14|00.00|-01.41,6
29,building_0,Desk|+03.14|00.00|-01.41,40
30,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,50
31,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,24
32,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,31
33,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,39
34,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,8
35,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,38
36,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,27
37,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,6
38,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,37
39,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,89
40,GarbageCan|+00.95|-00.03|-02.68,Desk|+03.14|00.00|-01.41,3
41,building_0,Desk|+03.14|00.00|-01.41,1066
42,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,73
43,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,35
44,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,31
45,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,41
46,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,72
47,building_2,Desk|+03.14|00.00|-01.41,511
48,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,65
49,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,39
50,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,50
51,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,87
52,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,48
53,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,61
54,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,33
55,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,63
56,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,81
57,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,15
58,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,16
59,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,71
60,GarbageCan|+00.95|-00.03|-02.68,Desk|+03.14|00.00|-01.41,1
61,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,47
62,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,69
63,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,89
64,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,19
65,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,36
66,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,5
67,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,56
68,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,74
69,building_5,Desk|+03.14|00.00|-01.41,2725
70,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,41
71,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,13
72,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,55
73,DogBed|+02.24|00.00|-02.85,Desk|+03.14|00.00|-01.41,26
74,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,63
75,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,66
76,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,30
77,Chair|+02.73|00.00|-01.21,Desk|+03.14|00.00|-01.41,34
78,building_4,Desk|+03.14|00.00|-01.41,88
79,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,30
80,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,42
81,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,6
82,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,38
83,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,13
84,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,56
85,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,53
86,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,70
87,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,50
88,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,72
89,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,83
90,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,70
91,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,26
92,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,48
93,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,21
94,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,60
95,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,80
96,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,36
97,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,73
98,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,32
99,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,85
100,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,32
101,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,58
102,Chair|+02.73|00.00|-01.21,Desk|+03.14|00.00|-01.41,17
103,building_0,Desk|+03.14|00.00|-01.41,103
104,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,6
105,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,47
106,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,158
107,building_1,Desk|+03.14|00.00|-01.41,6709
108,building_12,Desk|+03.14|00.00|-01.41,27444
109,DogBed|+02.30|00.00|-02.85,Desk|+03.14|00.00|-01.41,42
110,building_0,Desk|+03.14|00.00|-01.41,10983
111,building_5,Desk|+03.14|00.00|-01.41,3685
112,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,45
113,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,30
114,building_3,Desk|+03.14|00.00|-01.41,1
115,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,56
116,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,12
117,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,54
118,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,35
119,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,51
120,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,49
121,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,14
122,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,42
123,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,41
124,building_5,Desk|+03.14|00.00|-01.41,3774
125,FlatRectBlock|-02.93|+00.05|-02.84,Desk|+03.14|00.00|-01.41,3
126,FlatRectBlock|-02.93|+00.05|-02.84,Desk|+03.14|00.00|-01.41,3
127,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,73
128,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,66
129,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,18
130,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,79
131,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,37
132,building_7,Desk|+03.14|00.00|-01.41,411
133,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,17
134,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,26
135,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,8
136,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,13
137,GarbageCan|+00.75|-00.03|-02.74,Desk|+03.14|00.00|-01.41,20
138,building_2,Desk|+03.14|00.00|-01.41,93
139,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,43
140,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,22
141,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,35
142,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,47
143,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,64
144,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,82
145,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,80
146,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,42
147,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,51
148,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,69
149,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,31
150,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,30
151,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,50
152,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,75
153,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,14
154,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,39
155,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,31
156,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,99
157,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,54
158,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,78
159,Beachball|+02.29|+00.19|-02.88,Desk|+03.14|00.00|-01.41,4
160,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,61
161,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,35
162,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,75
163,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,76
164,GarbageCan|-02.79|-00.03|-02.67,Desk|+03.14|00.00|-01.41,2
165,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,48
166,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,11
167,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,86
168,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,66
169,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,75
170,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,25
171,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,68
172,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,81
173,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,27
174,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,87
175,Book|+02.83|+00.41|-00.01,Desk|+03.14|00.00|-01.41,1
176,building_2,Desk|+03.14|00.00|-01.41,28
177,building_3,Desk|+03.14|00.00|-01.41,1249
178,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,38
179,SmallSlide|-00.97|+00.20|-03.02,Desk|+03.14|00.00|-01.41,54
180,building_1,Desk|+03.14|00.00|-01.41,64
181,SmallSlide|-00.97|+00.20|-03.02,Desk|+03.14|00.00|-01.41,54
182,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,47
183,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,50
184,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,76
185,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,39
186,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,40
187,Chair|+02.73|00.00|-01.21,Desk|+03.14|00.00|-01.41,11
188,building_0,Desk|+03.14|00.00|-01.41,1
189,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,55
190,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,65
191,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,74
192,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,78
193,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,90
194,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,31
195,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,89
196,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,3
197,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,54
198,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,62
199,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,24
200,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,90
201,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,73
202,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,34
203,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,81
204,Book|+02.83|+00.41|-00.01,Desk|+03.14|00.00|-01.41,1
205,building_2,Desk|+03.14|00.00|-01.41,1
206,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,31
207,Chair|+02.73|00.00|-01.21,Desk|+03.14|00.00|-01.41,22
208,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,83
209,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,40
210,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,68
211,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,28
212,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,9
213,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,34
214,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,51
215,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,68
216,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,848
217,TeddyBear|-02.60|+00.60|-00.42,Desk|+03.14|00.00|-01.41,2271
218,building_6,Desk|+03.14|00.00|-01.41,190
219,building_5,Desk|+03.14|00.00|-01.41,2230
220,TeddyBear|-01.93|+00.60|+00.07,Desk|+03.14|00.00|-01.41,2209
221,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,62
222,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,37
223,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,54
224,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,42
225,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,62
226,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,88
227,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,83
228,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,25
229,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,69
230,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,48
231,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,16
232,Chair|+02.83|00.00|00.00,Desk|+03.14|00.00|-01.41,45
233,building_2,Desk|+03.14|00.00|-01.41,1
234,Beachball|+02.29|+00.19|-02.88,Desk|+03.14|00.00|-01.41,1
