,trace_id,domain,first_state_index,?v0,?v1
0,1El1CmicSoKZKTLe8NpP-gameplay-attempt-1-rerecorded,medium,936,KeyChain|-01.62|+00.60|+00.41,Watch|+03.07|+00.79|-00.45
1,1El1CmicSoKZKTLe8NpP-gameplay-attempt-1-rerecorded,medium,936,KeyChain|-01.62|+00.60|+00.41,CreditCard|+02.99|+00.79|-01.24
2,1aTng0m9240WEAU975WE-preCreateGame-rerecorded,few,477,Laptop|+03.04|+00.79|-02.28,Dodgeball|-02.95|+01.29|-02.61
3,hpLNbpSomVV4DZ5rNVJo-preCreateGame-rerecorded,few,2425,CubeBlock|-00.23|+00.28|-02.83,CubeBlock|-00.02|+00.28|-02.83
4,hpLNbpSomVV4DZ5rNVJo-preCreateGame-rerecorded,few,2425,CubeBlock|-00.02|+00.28|-02.83,CubeBlock|-00.23|+00.28|-02.83
5,iEqK3y2TMsJ4UTeD7EaX-editGame-rerecorded,many,120,Dodgeball|+00.44|+01.13|-02.80,PyramidBlock|-02.95|+01.61|-02.66
6,iEqK3y2TMsJ4UTeD7EaX-gameplay-attempt-2-rerecorded,many,258,TeddyBear|-02.60|+00.60|-00.42,CubeBlock|-02.97|+01.26|-01.94
7,izuuOskcJXqeevaNXXPQ-gameplay-attempt-1-rerecorded,many,431,Golfball|+00.96|+01.04|-02.70,Golfball|+01.05|+01.04|-02.70
8,izuuOskcJXqeevaNXXPQ-gameplay-attempt-1-rerecorded,many,431,Golfball|+01.05|+01.04|-02.70,Golfball|+00.96|+01.04|-02.70
9,izuuOskcJXqeevaNXXPQ-gameplay-attempt-1-rerecorded,many,501,Golfball|+01.14|+01.04|-02.70,Golfball|+00.96|+01.04|-02.70
10,izuuOskcJXqeevaNXXPQ-gameplay-attempt-1-rerecorded,many,501,Golfball|+00.96|+01.04|-02.70,Golfball|+01.14|+01.04|-02.70
11,jCc0kkmGUg3xUmUSXg5w-gameplay-attempt-1-rerecorded,few,4389,Mug|+03.14|+00.79|-00.87,Pencil|+03.07|+00.79|-01.79
12,jCc0kkmGUg3xUmUSXg5w-preCreateGame-rerecorded,few,2989,CubeBlock|-00.02|+00.10|-02.83,Pen|+03.02|+00.80|-01.85
13,jYnmaydkg4c0KmGFfgp3-editGame-rerecorded,medium,63,CylinderBlock|+00.93|+01.61|-02.89,CubeBlock|+00.70|+01.61|-02.91
14,3JgBMLuR3hhyXX7duXxU-gameplay-attempt-1-rerecorded,medium,1387,PyramidBlock|+01.13|+01.78|-02.89,CylinderBlock|+00.93|+01.61|-02.89
15,iEqK3y2TMsJ4UTeD7EaX-editGame-rerecorded,many,120,PyramidBlock|-02.95|+01.61|-02.66,Dodgeball|+00.44|+01.13|-02.80
16,ktwB7wT09sh4ivNme3Dw-createGame-rerecorded,medium,159,Pen|+03.02|+00.80|-01.85,Pencil|+03.07|+00.79|-01.79
17,39PytL3fAMFkYXNoB5l6-createGame-rerecorded,many,1960,Shelf|+00.62|+01.01|-02.82,Dodgeball|+00.44|+01.13|-02.80
18,5217Qbj8V5farCF3bBJT-createGame-rerecorded,many,2919,GarbageCan|+00.75|-00.03|-02.74,Dodgeball|+00.19|+01.13|-02.80
19,6ZjBeRCvHxG05ORmhInj-preCreateGame-rerecorded,few,2456,CubeBlock|-00.23|+00.28|-02.83,CubeBlock|-00.24|+00.10|-02.83
20,6ZjBeRCvHxG05ORmhInj-preCreateGame-rerecorded,few,2456,CubeBlock|-00.24|+00.10|-02.83,CubeBlock|-00.23|+00.28|-02.83
21,730QTwZ02OR88CPpsmSI-gameplay-attempt-2-rerecorded,medium,8246,SmallSlide|-00.97|+00.20|-03.02,BridgeBlock|+00.63|+01.10|-02.91
22,79X7tsrbEIu5ffDGnY8q-preCreateGame-rerecorded,many,2408,Dodgeball|+00.44|+01.13|-02.80,Dodgeball|+00.70|+01.11|-02.80
23,79X7tsrbEIu5ffDGnY8q-preCreateGame-rerecorded,many,2408,Dodgeball|+00.70|+01.11|-02.80,Dodgeball|+00.44|+01.13|-02.80
24,nI63T9y0c7KEzPgfadgy-gameplay-attempt-1-rerecorded,many,1672,Shelf|+00.62|+01.01|-02.82,Dodgeball|+00.19|+01.13|-02.80
25,pOvjLn7nuSqcxgqhaNuv-createGame-rerecorded,few,80,CubeBlock|-00.23|+00.28|-02.83,CubeBlock|+00.20|+00.29|-02.83
26,rRNy5QUGjCQzjIYuZvWJ-createGame-rerecorded,few,1507,CubeBlock|-00.02|+00.10|-02.83,CubeBlock|-00.02|+00.28|-02.83
27,rRNy5QUGjCQzjIYuZvWJ-createGame-rerecorded,few,1507,CubeBlock|-00.02|+00.28|-02.83,CubeBlock|-00.02|+00.10|-02.83
28,6ZjBeRCvHxG05ORmhInj-gameplay-attempt-1-rerecorded,few,2071,Laptop|+03.04|+00.79|-02.28,Dodgeball|-02.97|+01.29|-02.28
29,nI63T9y0c7KEzPgfadgy-gameplay-attempt-1-rerecorded,many,1390,Shelf|+00.62|+01.01|-02.82,Dodgeball|+00.44|+01.13|-02.80
30,nI63T9y0c7KEzPgfadgy-gameplay-attempt-1-rerecorded,many,1418,Shelf|+00.62|+01.01|-02.82,Dodgeball|+00.70|+01.11|-02.80
31,5IuRnM4sMvHnyLOcBIuC-gameplay-attempt-4-rerecorded,medium,1255,CylinderBlock|+00.93|+01.61|-02.89,CubeBlock|+00.70|+01.61|-02.91
32,6ZjBeRCvHxG05ORmhInj-preCreateGame-rerecorded,few,1258,GarbageCan|+00.95|-00.03|-02.68,Laptop|+03.04|+00.79|-02.28
33,730QTwZ02OR88CPpsmSI-gameplay-attempt-2-rerecorded,medium,6680,CellPhone|+02.96|+00.79|-00.93,KeyChain|-01.62|+00.60|+00.41
34,730QTwZ02OR88CPpsmSI-gameplay-attempt-2-rerecorded,medium,6680,KeyChain|-01.62|+00.60|+00.41,CellPhone|+02.96|+00.79|-00.93
35,lchV8TQjaHcYtHAqR31Q-gameplay-attempt-3-rerecorded,many,443,BridgeBlock|-02.92|+00.26|-02.52,BridgeBlock|-02.92|+00.43|-02.52
36,lchV8TQjaHcYtHAqR31Q-gameplay-attempt-3-rerecorded,many,439,BridgeBlock|-02.92|+00.09|-02.52,BridgeBlock|-02.92|+00.26|-02.52
37,me2bPEvz4glQ1Q8GSfm8-gameplay-attempt-1-rerecorded,medium,1816,CellPhone|+02.96|+00.79|-00.93,Watch|+03.07|+00.79|-00.45
38,nI63T9y0c7KEzPgfadgy-gameplay-attempt-1-rerecorded,many,1948,CurvedRamp|-00.25|00.00|-02.98,Golfball|+01.14|+01.04|-02.70
39,nI63T9y0c7KEzPgfadgy-preCreateGame-rerecorded,many,335,Chair|+02.83|00.00|00.00,Book|+02.83|+00.41|-00.01
40,730QTwZ02OR88CPpsmSI-gameplay-attempt-2-rerecorded,medium,9058,Shelf|+00.62|+01.51|-02.82,FlatRectBlock|+00.23|+01.66|-02.88
41,730QTwZ02OR88CPpsmSI-gameplay-attempt-5-rerecorded,medium,3960,Laptop|+03.04|+00.79|-02.28,Pencil|+03.07|+00.79|-01.79
42,nFX80fkvz9jp4TEfDQUl-preCreateGame-rerecorded,few,5915,Chair|+02.83|00.00|00.00,Book|+02.83|+00.41|-00.01
43,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,161,CylinderBlock|+00.93|+01.61|-02.89,CubeBlock|+00.50|+01.61|-02.91
44,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,1037,Pen|+03.02|+00.80|-01.85,Pencil|+03.07|+00.79|-01.79
45,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,2199,Pencil|+03.07|+00.79|-01.79,Pen|+03.02|+00.80|-01.85
46,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,1588,TeddyBear|-02.60|+00.60|-00.42,DeskLamp|+03.13|+00.79|-00.64
47,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,2125,Pillow|-02.45|+00.66|+00.10,CylinderBlock|+01.13|+01.61|-02.89
48,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,8833,BasketBall|-02.58|+00.12|-01.93,BridgeBlock|+01.03|+01.11|-02.88
49,FDEjFQ4l4RicsJzAe2BG-gameplay-attempt-1-rerecorded,medium,3338,TeddyBear|-02.60|+00.60|-00.42,Book|+02.83|+00.41|-00.01
50,FDEjFQ4l4RicsJzAe2BG-preCreateGame-rerecorded,medium,1403,BridgeBlock|+01.03|+01.11|-02.88,FlatRectBlock|+00.23|+01.66|-02.88
51,rRNy5QUGjCQzjIYuZvWJ-preCreateGame-rerecorded,few,1255,Dodgeball|-02.95|+01.29|-02.61,Mug|+03.14|+00.79|-00.87
52,rTVvF1dBAKE8juHCF69f-preCreateGame-rerecorded,many,4905,TallRectBlock|-02.95|+02.05|-02.72,TallRectBlock|-02.95|+02.05|-02.52
53,tM0MidzjBJBLkOEPYr2F-preCreateGame-rerecorded,medium,1405,Shelf|+00.62|+01.51|-02.82,FlatRectBlock|+00.24|+01.57|-02.89
54,uhGe7SjH7liOuiTHkFZg-gameplay-attempt-1-rerecorded,few,666,Chair|+02.73|00.00|-01.21,Book|+02.83|+00.41|-00.01
55,vY50SvtI10c0YhXHIVv8-gameplay-attempt-2-rerecorded,few,1292,Dodgeball|-02.95|+01.29|-02.61,Dodgeball|-02.97|+01.29|-02.28
56,vY50SvtI10c0YhXHIVv8-gameplay-attempt-2-rerecorded,few,1292,Dodgeball|-02.97|+01.29|-02.28,Dodgeball|-02.95|+01.29|-02.61
57,EeEZO5cBjEuKYTBYmfHX-preCreateGame-rerecorded,many,2944,Dodgeball|+00.70|+01.11|-02.80,Dodgeball|+00.44|+01.13|-02.80
58,WtZpe3LQFZiztmh7pBBC-gameplay-attempt-1-rerecorded,many,501,Shelf|+00.62|+01.01|-02.82,Dodgeball|+00.44|+01.13|-02.80
59,XexzCkW95vUcVYAFhSA9-gameplay-attempt-1-rerecorded,many,2482,CurvedRamp|-00.25|00.00|-02.98,BridgeBlock|-02.92|+00.26|-02.52
60,XexzCkW95vUcVYAFhSA9-gameplay-attempt-1-rerecorded,many,2677,Dodgeball|+00.70|+01.11|-02.80,BridgeBlock|-02.92|+00.09|-02.52
61,XexzCkW95vUcVYAFhSA9-gameplay-attempt-1-rerecorded,many,2677,BridgeBlock|-02.92|+00.09|-02.52,Dodgeball|+00.70|+01.11|-02.80
62,YB9HWpd4rMWwS3P2mCVk-freePlay-rerecorded,many,476,Shelf|+00.62|+01.01|-02.82,Dodgeball|+00.19|+01.13|-02.80
63,YB9HWpd4rMWwS3P2mCVk-freePlay-rerecorded,many,483,Shelf|+00.62|+01.01|-02.82,Dodgeball|+00.70|+01.11|-02.80
64,YB9HWpd4rMWwS3P2mCVk-freePlay-rerecorded,many,532,Shelf|+00.62|+01.01|-02.82,Dodgeball|+00.44|+01.13|-02.80
65,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,many,1609,Dodgeball|+00.70|+01.11|-02.80,Dodgeball|+00.44|+01.13|-02.80
66,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,many,2972,SmallSlide|-00.81|+00.14|-03.10,Dodgeball|+00.70|+01.11|-02.80
67,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,many,1609,Dodgeball|+00.44|+01.13|-02.80,Dodgeball|+00.70|+01.11|-02.80
68,ZBcXIZbvTS3U4IBGk1zk-preCreateGame-rerecorded,medium,1137,GarbageCan|-02.79|-00.03|-02.67,Dodgeball|-02.60|+00.13|-02.18
69,ZMqZkrMMB0PcsCeLhQqE-gameplay-attempt-1-rerecorded,medium,2003,Chair|+02.73|00.00|-01.21,TeddyBear|-02.60|+00.60|-00.42
70,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,many,139,SmallSlide|-00.81|+00.14|-03.10,SmallSlide|-01.31|+00.14|-03.10
71,ZSRiFalssazyXG8Qui4j-preCreateGame-rerecorded,many,139,SmallSlide|-01.31|+00.14|-03.10,SmallSlide|-00.81|+00.14|-03.10
72,f2WUeVzu41E9Lmqmr2FJ-preCreateGame-rerecorded,many,1961,Shelf|+00.62|+01.01|-02.82,Dodgeball|+00.19|+01.13|-02.80
73,gMqKBjOWDlhMU1tl10nI-gameplay-attempt-1-rerecorded,few,348,CubeBlock|-00.23|+00.28|-02.83,Dodgeball|-02.95|+01.29|-02.61
74,gMqKBjOWDlhMU1tl10nI-gameplay-attempt-1-rerecorded,few,348,Dodgeball|-02.95|+01.29|-02.61,CubeBlock|-00.23|+00.28|-02.83
75,gZ8ce0O2anOHAMWWJJZw-gameplay-attempt-1-rerecorded,medium,5829,Pencil|+03.07|+00.79|-01.79,Pen|+03.02|+00.80|-01.85
76,OkKMZ7MxTSxfxQoPDZQK-preCreateGame-rerecorded,few,775,CubeBlock|-00.23|+00.28|-02.83,CubeBlock|-00.02|+00.28|-02.83
77,OkKMZ7MxTSxfxQoPDZQK-preCreateGame-rerecorded,few,775,CubeBlock|-00.02|+00.28|-02.83,CubeBlock|-00.23|+00.28|-02.83
78,Q6a8AbiIdcLA9tJzAu14-gameplay-attempt-1-rerecorded,many,3406,Dodgeball|+00.19|+01.13|-02.80,Dodgeball|+00.70|+01.11|-02.80
79,Q6a8AbiIdcLA9tJzAu14-gameplay-attempt-1-rerecorded,many,3406,Dodgeball|+00.70|+01.11|-02.80,Dodgeball|+00.19|+01.13|-02.80
80,QclKeEZEVr7j0klPuanE-gameplay-attempt-3-rerecorded,few,5245,Dodgeball|-02.97|+01.29|-02.28,CubeBlock|-00.02|+00.28|-02.83
81,RpUFIyJENdtXMSs0mzO4-gameplay-attempt-1-rerecorded,medium,423,CylinderBlock|+00.93|+01.61|-02.89,CylinderBlock|+01.13|+01.61|-02.89
82,RpUFIyJENdtXMSs0mzO4-gameplay-attempt-1-rerecorded,medium,423,CylinderBlock|+01.13|+01.61|-02.89,CylinderBlock|+00.93|+01.61|-02.89
83,RpUFIyJENdtXMSs0mzO4-gameplay-attempt-1-rerecorded,medium,990,BridgeBlock|+01.03|+01.11|-02.88,CylinderBlock|+01.13|+01.61|-02.89
84,FyGQn1qJCLTLU1hfQfZ2-freePlay-rerecorded,many,435,TriangleBlock|-02.95|+01.23|-02.69,Golfball|+00.96|+01.04|-02.70
85,FyGQn1qJCLTLU1hfQfZ2-gameplay-attempt-1-rerecorded,many,1198,TallRectBlock|-02.95|+02.05|-02.72,TallRectBlock|-02.95|+02.05|-02.52
86,FyGQn1qJCLTLU1hfQfZ2-gameplay-attempt-1-rerecorded,many,1198,TallRectBlock|-02.95|+02.05|-02.52,TallRectBlock|-02.95|+02.05|-02.72
87,FyGQn1qJCLTLU1hfQfZ2-gameplay-attempt-1-rerecorded,many,4156,Mug|+03.14|+00.79|-00.87,CD|+02.99|+00.79|-00.37
88,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2646,Golfball|+01.05|+01.04|-02.70,Golfball|+00.96|+01.04|-02.70
89,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2623,CellPhone|+02.96|+00.79|-00.93,Golfball|+01.05|+01.04|-02.70
90,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,3663,CreditCard|+02.99|+00.79|-01.24,Golfball|+01.05|+01.04|-02.70
91,I1OpGx1BtTByOehoxKDq-gameplay-attempt-1-rerecorded,many,1105,Chair|+02.83|00.00|00.00,CylinderBlock|-02.95|+01.62|-01.95
92,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,3666,Golfball|+01.05|+01.04|-02.70,CreditCard|+02.99|+00.79|-01.24
93,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2219,CD|+02.99|+00.79|-00.37,Pen|+03.02|+00.80|-01.85
94,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2416,CD|+02.99|+00.79|-00.37,CellPhone|+02.96|+00.79|-00.93
95,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2416,CellPhone|+02.96|+00.79|-00.93,CD|+02.99|+00.79|-00.37
96,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2673,CellPhone|+02.96|+00.79|-00.93,Pen|+03.02|+00.80|-01.85
97,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2648,Mug|+03.14|+00.79|-00.87,CellPhone|+02.96|+00.79|-00.93
98,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2623,Pen|+03.02|+00.80|-01.85,Golfball|+00.96|+01.04|-02.70
99,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2645,Golfball|+01.14|+01.04|-02.70,Watch|+03.07|+00.79|-00.45
100,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2645,Watch|+03.07|+00.79|-00.45,Golfball|+01.14|+01.04|-02.70
101,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2647,CD|+02.99|+00.79|-00.37,Mug|+03.14|+00.79|-00.87
102,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2673,Pen|+03.02|+00.80|-01.85,CellPhone|+02.96|+00.79|-00.93
103,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2677,CellPhone|+02.96|+00.79|-00.93,Golfball|+00.96|+01.04|-02.70
104,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,3667,CD|+02.99|+00.79|-00.37,Golfball|+00.96|+01.04|-02.70
105,GF4TTr6H2CftJ4nrR8oj-gameplay-attempt-1-rerecorded,medium,927,LongCylinderBlock|+00.31|+01.19|-02.89,LongCylinderBlock|+00.12|+01.19|-02.89
106,IhOkh1l3TBY9JJVubzHx-gameplay-attempt-1-rerecorded,many,1316,Dodgeball|+00.70|+01.11|-02.80,TallRectBlock|-02.95|+02.05|-02.31
107,IhOkh1l3TBY9JJVubzHx-gameplay-attempt-1-rerecorded,many,1316,TallRectBlock|-02.95|+02.05|-02.31,Dodgeball|+00.70|+01.11|-02.80
108,G2chsLHjitbS4fASq4vq-preCreateGame-rerecorded,many,2646,Mug|+03.14|+00.79|-00.87,CD|+02.99|+00.79|-00.37
109,GF4TTr6H2CftJ4nrR8oj-gameplay-attempt-1-rerecorded,medium,1314,CylinderBlock|+01.13|+01.61|-02.89,CylinderBlock|+00.93|+01.61|-02.89
110,IvoZWi01FO2uiNpNHyci-freePlay-rerecorded,many,385,CurvedRamp|-00.25|00.00|-02.98,Dodgeball|+00.44|+01.13|-02.80
111,IvoZWi01FO2uiNpNHyci-gameplay-attempt-2-rerecorded,many,1406,Golfball|+01.05|+01.04|-02.70,Golfball|+00.96|+01.04|-02.70
112,IvoZWi01FO2uiNpNHyci-gameplay-attempt-2-rerecorded,many,1406,Golfball|+00.96|+01.04|-02.70,Golfball|+01.05|+01.04|-02.70
113,IvoZWi01FO2uiNpNHyci-preCreateGame-rerecorded,many,1733,Shelf|+00.62|+01.01|-02.82,Dodgeball|+00.44|+01.13|-02.80
114,JNLBQW5TcsbOY86oNd2A-gameplay-attempt-1-rerecorded,medium,1333,Chair|+02.83|00.00|00.00,Book|+02.83|+00.41|-00.01
115,JNLBQW5TcsbOY86oNd2A-preCreateGame-rerecorded,medium,3740,BridgeBlock|+01.03|+01.11|-02.88,FlatRectBlock|+00.23|+01.66|-02.88
116,Kns1TGpthEFdKLHHOcey-gameplay-attempt-1-rerecorded,few,269,Chair|+02.73|00.00|-01.21,Chair|+02.83|00.00|00.00
117,NJUY0YT1Pq6dZXsmw0wE-createGame-rerecorded,few,2601,Pen|+03.02|+00.80|-01.85,Pencil|+03.07|+00.79|-01.79
118,NJUY0YT1Pq6dZXsmw0wE-gameplay-attempt-2-rerecorded,few,1754,Pen|+03.02|+00.80|-01.85,CellPhone|+02.96|+00.79|-00.93
119,NUfMuIPw4k6FlGvCtYgH-gameplay-attempt-1-rerecorded,medium,427,CylinderBlock|+01.13|+01.61|-02.89,CylinderBlock|+00.93|+01.61|-02.89
120,NUfMuIPw4k6FlGvCtYgH-gameplay-attempt-1-rerecorded,medium,427,CylinderBlock|+00.93|+01.61|-02.89,CylinderBlock|+01.13|+01.61|-02.89
121,NUfMuIPw4k6FlGvCtYgH-gameplay-attempt-1-rerecorded,medium,1021,BridgeBlock|+01.03|+01.11|-02.88,CylinderBlock|+01.13|+01.61|-02.89
122,IvoZWi01FO2uiNpNHyci-preCreateGame-rerecorded,many,1685,Beachball|+02.29|+00.19|-02.88,Dodgeball|+00.44|+01.13|-02.80
123,NJUY0YT1Pq6dZXsmw0wE-gameplay-attempt-2-rerecorded,few,1719,CellPhone|+02.96|+00.79|-00.93,Pen|+03.02|+00.80|-01.85
124,NJUY0YT1Pq6dZXsmw0wE-createGame-rerecorded,few,492,Pillow|-02.45|+00.66|+00.10,Drawer|-01.52|+00.41|+00.35
125,EB9bKJMBxNqVaRtrXDuO-createGame-rerecorded,medium,23141,SmallSlide|-00.97|+00.20|-03.02,BridgeBlock|+01.03|+01.11|-02.88
126,EB9bKJMBxNqVaRtrXDuO-createGame-rerecorded,medium,20423,BridgeBlock|+01.03|+01.11|-02.88,CubeBlock|+00.70|+01.61|-02.91
127,7r4cgxJHzLJooFaMG1Rd-createGame-rerecorded,many,748,Golfball|+01.14|+01.04|-02.70,Golfball|+00.96|+01.04|-02.70
128,7r4cgxJHzLJooFaMG1Rd-createGame-rerecorded,many,748,Golfball|+00.96|+01.04|-02.70,Golfball|+01.14|+01.04|-02.70
129,7r4cgxJHzLJooFaMG1Rd-gameplay-attempt-1-rerecorded,many,2446,Dodgeball|+00.19|+01.13|-02.80,Dodgeball|+00.70|+01.11|-02.80
130,7r4cgxJHzLJooFaMG1Rd-gameplay-attempt-1-rerecorded,many,2446,Dodgeball|+00.70|+01.11|-02.80,Dodgeball|+00.19|+01.13|-02.80
131,B02vfA7ZpP1xhDyqeYVd-preCreateGame-rerecorded,few,3057,AlarmClock|-01.41|+00.60|+00.45,CubeBlock|-00.23|+00.28|-02.83
132,DfCWVG3I8HkoSioS37gi-gameplay-attempt-1-rerecorded,few,470,CubeBlock|+00.20|+00.29|-02.83,CubeBlock|-00.02|+00.28|-02.83
133,DfCWVG3I8HkoSioS37gi-gameplay-attempt-1-rerecorded,few,470,CubeBlock|-00.02|+00.28|-02.83,CubeBlock|+00.20|+00.29|-02.83
134,8cc9xnijzmS7uwGDaAoL-freePlay-rerecorded,few,261,CubeBlock|-00.23|+00.28|-02.83,CubeBlock|-00.02|+00.10|-02.83
135,8cc9xnijzmS7uwGDaAoL-freePlay-rerecorded,few,261,CubeBlock|-00.02|+00.10|-02.83,CubeBlock|-00.23|+00.28|-02.83
136,9Aiqaq13I7lUZsLlNEfW-gameplay-attempt-1-rerecorded,few,424,Shelf|+00.62|+01.01|-02.82,Dodgeball|-02.95|+01.29|-02.61
137,DfCWVG3I8HkoSioS37gi-preCreateGame-rerecorded,few,761,CubeBlock|+00.20|+00.29|-02.83,CubeBlock|-00.02|+00.28|-02.83
138,DfCWVG3I8HkoSioS37gi-preCreateGame-rerecorded,few,761,CubeBlock|-00.02|+00.28|-02.83,CubeBlock|+00.20|+00.29|-02.83
139,DfCWVG3I8HkoSioS37gi-preCreateGame-rerecorded,few,2046,CellPhone|+02.96|+00.79|-00.93,CreditCard|+02.99|+00.79|-01.24
140,EB9bKJMBxNqVaRtrXDuO-createGame-rerecorded,medium,31357,TeddyBear|-02.60|+00.60|-00.42,Laptop|+03.04|+00.79|-02.28
141,T2dYV1nPh5cmt3NBELdS-createGame-rerecorded,few,1171,CubeBlock|+00.20|+00.29|-02.83,Dodgeball|-02.95|+01.29|-02.61
142,T2dYV1nPh5cmt3NBELdS-createGame-rerecorded,few,1171,Dodgeball|-02.95|+01.29|-02.61,CubeBlock|+00.20|+00.29|-02.83
143,wi9ubMsI5cDptid12cm2-gameplay-attempt-1-rerecorded,few,2982,CubeBlock|-00.02|+00.10|-02.83,CubeBlock|-00.24|+00.10|-02.83
144,zhq2iVuBVQxs15gj7Blw-preCreateGame-rerecorded,many,306,Shelf|+00.62|+01.01|-02.82,Dodgeball|+00.19|+01.13|-02.80
145,zhq2iVuBVQxs15gj7Blw-preCreateGame-rerecorded,many,645,Shelf|+00.62|+01.51|-02.82,TriangleBlock|-02.95|+01.23|-02.69
146,ShyRlIFgTWW6vqNrd3K5-gameplay-attempt-1-rerecorded,many,3666,TriangleBlock|-02.92|+01.23|-02.23,TriangleBlock|-02.95|+01.23|-02.69
147,ShyRlIFgTWW6vqNrd3K5-preCreateGame-rerecorded,many,2795,DogBed|+02.24|00.00|-02.85,Laptop|+03.04|+00.79|-02.28
148,ShyRlIFgTWW6vqNrd3K5-preCreateGame-rerecorded,many,8544,GarbageCan|+00.75|-00.03|-02.74,TriangleBlock|-02.95|+01.23|-02.69
149,Tcfpwc8v8HuKRyZr5Dyc-gameplay-attempt-2-rerecorded,medium,1293,Beachball|-02.93|+00.17|-01.99,TeddyBear|-02.60|+00.60|-00.42
150,vfh1MTEQorWXKy8jOP1x-gameplay-attempt-2-rerecorded,few,507,CubeBlock|+00.20|+00.10|-02.83,CubeBlock|-00.24|+00.10|-02.83
151,vfh1MTEQorWXKy8jOP1x-preCreateGame-rerecorded,few,1327,CubeBlock|-00.24|+00.10|-02.83,CubeBlock|-00.02|+00.10|-02.83
152,vfh1MTEQorWXKy8jOP1x-preCreateGame-rerecorded,few,1327,CubeBlock|-00.02|+00.10|-02.83,CubeBlock|-00.24|+00.10|-02.83
153,vgtHV3viTuaAEBMr9m0t-gameplay-attempt-1-rerecorded,medium,5760,Dodgeball|-02.60|+00.13|-02.18,FlatRectBlock|+00.24|+01.57|-02.89
154,vgtHV3viTuaAEBMr9m0t-gameplay-attempt-1-rerecorded,medium,6390,Desktop|+03.10|+00.79|-01.24,Dodgeball|-02.60|+00.13|-02.18
155,wi9ubMsI5cDptid12cm2-preCreateGame-rerecorded,few,3483,GarbageCan|+00.95|-00.03|-02.68,CubeBlock|-00.02|+00.10|-02.83
156,xKsIJRkAQ3ELL4W0K0wq-gameplay-attempt-1-rerecorded,few,446,CubeBlock|+00.20|+00.10|-02.83,CubeBlock|-00.02|+00.10|-02.83
157,xKsIJRkAQ3ELL4W0K0wq-gameplay-attempt-1-rerecorded,few,446,CubeBlock|-00.02|+00.10|-02.83,CubeBlock|+00.20|+00.10|-02.83
158,ShyRlIFgTWW6vqNrd3K5-gameplay-attempt-1-rerecorded,many,3666,TriangleBlock|-02.95|+01.23|-02.69,TriangleBlock|-02.92|+01.23|-02.23
159,TSeBHnKzO96Vswy4B1rh-preCreateGame-rerecorded,many,1611,GarbageCan|+00.75|-00.03|-02.74,Dodgeball|+00.70|+01.11|-02.80
160,xMUrxzK3fXjgitdzPKsm-preCreateGame-rerecorded,many,5211,SmallSlide|-01.31|+00.14|-03.10,TallRectBlock|-02.95|+02.05|-02.52
161,ShyRlIFgTWW6vqNrd3K5-preCreateGame-rerecorded,many,7882,BridgeBlock|-02.92|+00.43|-02.52,TriangleBlock|-02.94|+01.23|-02.46
162,vfh1MTEQorWXKy8jOP1x-gameplay-attempt-2-rerecorded,few,507,CubeBlock|-00.24|+00.10|-02.83,CubeBlock|+00.20|+00.10|-02.83
163,vgtHV3viTuaAEBMr9m0t-gameplay-attempt-1-rerecorded,medium,518,Chair|+02.83|00.00|00.00,Book|+02.83|+00.41|-00.01
164,xGSK70m7Dh3wFZ2b8eoE-preCreateGame-rerecorded,few,1058,CurvedRamp|-03.05|00.00|-02.78,Laptop|+03.04|+00.79|-02.28
